Species	Epiphyllous niche	Phorophyte
Marchantiophyta		
Lejeuneaceae		
Brachiolejeunea laxifolia (Taylor) Schiffn.	Optional	Polylepis sericea (stalk), Espeletia schultzii, Podocarpus rospigliosii (stalk), Vochysia duckei (stalk), Espeletia barclayana (stalk), Laguncularia racemosa (stalk)
Bromeliophila natans (Steph.) R.M.Schust.	Exclusive	Quesnelia arvensis (leaf); Aechmea nudistalk (leaf)
Caudalejeunea lehmanniana (Gottsche) A.Evans	Optional	Avicenia schaueriana (stalk), Myristicaceae (leaf)
Ceratolejeunea ceratantha (Nees & Mont.) Steph.	Optional	No information
Ceratolejeunea coarina (Gottsche) Schiffn.	Optional	No information
Ceratolejeunea cornuta (Lindenb.) Schiffn.	Optional	Theobroma grandiflorum (stalk), Chamaecrista apoucouita (stalk)
Ceratolejeunea filaria (Taylor ex Lehm.) Steph.	Optional	No information
Ceratolejeunea minuta G. Dauphin	Optional	No information
Ceratolejeunea rubiginosa Gottsche ex Steph.	Optional	 Laguncularia racemosa (stalk)
Cheilolejeunea filiformis (Sw.) W. Ye, R.L. Zhu & Gradst.	Optional	No information
Cheilolejeunea tonduzana (Steph.) W. Ye, R.L. Zhu & Gradst.	Optional	No information
Cololejeunea camillii (Lehm.) A. Evans	Exclusive	Geonoma sp. (stalk)
Cololejeunea cardiocarpa (Mont.) A.Evans	Optional	Tabebuia sp. (stalk), Palmae (leaf), Myrtaceae (stalk), Lauraceae (leaf), Anonaceae (leaf), Crecopia sp. (stalk), Cyclodium meniscioides (leaf), Bolbitis serratifolia (frond ), Thelypteris sp. (frond ), Maranta sp. (leaf), Rhizophora mangle (stalk), Ternstroemia brasiliensis (stalk), Pthecellobium sp. (stalk),  Sorocea sp. (leaf), Schinus sp. (stalk), Blechnum sp.(leaf), Adiantum sp. (leaf)
Cololejeunea cingens (Herzog) Bernecker & Pócs	Exclusive	No information
Cololejeunea diaphana A. Evans	Optional	Pteris sp. (leaf), Didymochlaena trunculata (leaf), Bolbitis serratifolia (frond ), Ctenitis sp. (frond ), Adiantum sp. (leaf), Adiantopsis radiata (frond )
Cololejeunea gracilis (Ast.) Pócs	Exclusive	No information 
Cololejeunea hildebrandii (Austin) Steph.	Exclusive	No information
Cololejeunea microscopica (Taylor) Schiffn.	Optional	No information
Cololejeunea microscopica var. exígua (A. Evans) Pócs	Exclusive	No information
Cololejeunea microscopica var. africana (Pócs) Pócs & Bernecker	Optional	No information
		
Cololejeunea minutilobula Herzog	Exclusive	Acianthera sp. (leaf)
Cololejeunea obliqua (Nees & Mont.) Schiffn.	Exclusive	Rubiaceae (leaf), Maranta sp. (leaf), Heliconia sp. (leaf), Amarantaceae (leaf),  Musaceae (leaf), Proleaceae (leaf), Sapotaceae  (leaf), Pteris sp. (leaf), Araceae (leaf),  Commelinaceae (leaf), Psychotria sp. (leaf), Polypodium sp. (leaf)
Cololejeunea papilliloba (Steph). Steph.	Optional	No information 
Cololejeunea platyneura (Spruce) S.W.Arnell	Exclusive	No information
Cololejeunea sintenisii (Steph.) Pócs	Exclusive	No information
Cololejeunea subcardiocarpa Tixier	Exclusive	Actinostemon concolor (leaf), Celtis iguanaea (leaf), Aspidiaceae (leaf), Bromeliaceae (leaf), Hennecartia omphalandra (leaf), Palicourea marcgravii (leaf)
Cololejeunea submarginata Tixier	Exclusive	 Solanaceae (leaf), Palmae (leaf), Citrus sp. (leaf)
Cololejeunea subscariosa (Spruce) R.M.Schust.	Exclusive	No information
Cololejeunea surinamensis Tixier	Optional	Palmae (leaf), Menispermaceae (leaf), Attlale attaleoides (leaf), Melastomataceae (leaf), Arecaceae (leaf), Sapotaceae (leaf), Protium sp. (stalk)
Cololejeunea verwimpii Tixier	Exclusive	Quesnelia arvensis (leaf), Citrus sp. (leaf)
Cololejeunea vitaliana Tixier	Exclusive	No information
Colura cylindrica Herzog	Optional	No information
Colura greig-smithii Jovet-Ast	Optional	Araceae (leaf)
Colura tenuicornis (A.Evans) Steph.	Optional	Citrus sp. (leaf)
Colura tortifolia (Nees & Mont.) Steph.	Optional	No information
Colura ulei Jovet-Ast	Optional	Palmae (leaf), Asclepias curassavica (leaf), Rubiaceae (leaf), Cyperaceae (leaf), Musaceae (leaf)
Cyclolejeunea accedens (Gottsche) A.Evans	Exclusive	No information
Cyclolejeunea convexistipa (Lehm. & Lindenb.) A.Evans	Optional	Poaceae (stalk), Bauhinia sp. (stalk), Melastomataceae (stalk), Musa sp. (leaf), Eperua bijuga (stalk), Attlalea attaleoides (stalk), Rubiaceae (leaf), Asplenium trichomanes (leaf), Amaranthaceae (stalk), Palmae (leaf)
Cyclolejeunea peruviana (Lehm. & Lindenb.) A.Evans	Optional	Orchidaceae (leaf), Sapotaceae (leaf), Palmae (leaf), Cyperaceae (leaf), Cecropiaceae (stalk), Araceae (leaf)
Dicranolejeunea axilaris (Nees & Mont.) Schiffn.	Optional	No information
Diplasiolejeunea cubatensis R.Prudêncio, Z.R.Mello & D.P.Costa	Exclusive	No information
Diplasiolejeunea latipuensis Tixier	Optional	No information
Diplasiolejeunea pellucida (Meisn.) Schiffn.	Exclusive	Rubiaceae (leaf), Lauraceae (leafs), Dichorisandra sp. (leaf), Palmae (leaf), Polypodium sp. (leaf)
Diplasiolejeunea rudolphiana Steph.	Optional	Rizhophora mangle (stalk), Asclepias curassavica (leaf), Pisonia aculeata (leaf), Laguncularia racemosa (stalk), Pthecellobium sp. (stalk), Protium sp. (stalk), Citrus sp. (stalk), Hibiscus tiliaceus (stalk), Pterogyne nitens (stalk), Inga edulis (leaf), Euphorbia heterophylla (leaf)
Drepanolejeunea aculeata Bischl.	Exclusive	No information
Drepanolejeunea bidens (Steph.) A.Evans	Optional	Solanaceae (leafs), Anonaceae (leaf), Proteaceae (leaf)
Drepanolejeunea biocellata A.Evans	Exclusive	No information
Drepanolejeunea campanulata (Spruce) Steph.	Optional	No information
Drepanolejeunea crucianella (Taylor) A.Evans	Exclusive	Poaceae(leaf), Melastomataceae (leaf)
Drepanolejeunea fragilis Bischl.	Optional	No information
Drepanolejeunea grollei E.Reiner & Schäfer-Verw.	Exclusive	No information
Drepanolejeunea inchoata (Meisn.) Schiffn.	Optional	No information
Drepanolejeunea lichenicola (Spruce) Steph.	Optional	No information
Drepanolejeunea mosenii (Steph.) Bischl.	Optional	Rubiaceae (leaf), Bromeliaceae (leaf), Begoniaceae (leaf), Laguncularia racemosa (stalk), Marantaceae (leaf)
Drepanolejeunea orthophylla (Nees & Mont.) Bischl.	Exclusive	Rubiaceae (leaf), Palmae (leaf), Araceae (leaf), Cyperaceae (leaf), Bromeliaceae (leaf)
Drepanolejeunea palmifolia (Nees) Steph.	Optional	Palmae (leaf)
Drepanolejeunea subdissitifolia Herzog	Exclusive	No information
Harpalejeunea subacuta A. Evans	Optional	Araucaria angustifolia (stalk), Avicenia sp. (stalk)
Lejeunea acanthogona Spruce	Optional	No information
Lejeunea acanthogona var. cristulata (Steph.) Gradst. & C.J. Bastos	Optional	No information
Lejeunea adpressa Nees	Optional	Theobroma cacao (stalk), Musaceae (leaf), Polybotria sp. (leaf)
